machine_id,machine_type,machine_name,manufacturer,model,serial_number,production_line_id,location,zone,install_date,last_service_date,status,next_pm_date,tolerance_mm
CNC-001,CNC_Mill,5-Axis CNC Milling Center,DMG MORI,DMU 80 eVo,DMG-2019-4471,PL-01,Building A,Machining Zone,2019-06-15,2026-03-10,Operational,2026-05-10,0.015
CNC-002,CNC_Mill,3-Axis CNC Milling Machine,Haas,VF-4SS,HAAS-2021-8823,PL-01,Building A,Machining Zone,2021-02-20,2026-02-15,Operational,2026-05-15,0.02
CNC-003,CNC_Mill,3-Axis Horizontal CNC Mill,Mazak,VARIAXIS i-600,MZK-2020-5512,PL-01,Building A,Machining Zone,2020-08-10,2026-03-01,Operational,2026-06-01,0.02
CNC-005,CNC_Mill,5-Axis CNC Milling Center,DMG MORI,DMU 50 3rd Gen,DMG-2024-8821,PL-01,Building A,Machining Zone,2024-02-15,2026-03-20,Operational,2026-06-20,0.015
LTH-001,CNC_Lathe,2-Axis CNC Turning Center,Mazak,QUICK TURN 250,MZK-2019-4220,PL-01,Building A,Machining Zone,2019-09-10,2026-02-20,Operational,2026-05-20,0.015
LTH-002,CNC_Lathe,Multi-Axis CNC Turning Center,Okuma,LB3000 EX II,OKM-2022-1180,PL-01,Building A,Machining Zone,2022-06-15,2026-03-05,Operational,2026-06-05,0.01
LSR-001,Laser_Cutter,Fiber Laser Cutting System,Trumpf,TruLaser 3030,TRP-2022-1105,PL-01,Building A,Sheet Metal Zone,2022-01-15,2026-04-01,Operational,2026-07-01,0.05
LSR-002,Laser_Cutter,Fiber Laser Cutter 8kW,TRUMPF,TruLaser 3030 fiber,TRM-2023-7712,PL-01,Building A,Sheet Metal Zone,2023-04-05,2026-01-18,Operational,2026-04-18,0.04
PRB-001,Press_Brake,CNC Hydraulic Press Brake,Amada,HG-1303,AMD-2018-3390,PL-01,Building A,Sheet Metal Zone,2018-11-20,2026-01-20,Operational,2026-04-20,0.1
WLD-001,TIG_Welder,Automated TIG Welding Cell,Lincoln Electric,Vantage 500 TIG,LNE-2021-7744,PL-02,Building B,Welding Zone,2021-05-10,2026-03-15,Operational,2026-06-15,0.2
WLD-002,MIG_Welder,Robotic MIG Welding Cell,Fanuc,ARC Mate 100iD,FNC-2020-6621,PL-02,Building B,Welding Zone,2020-09-01,2026-02-28,Operational,2026-05-28,0.2
CMM-001,CMM,Coordinate Measuring Machine,Zeiss,CONTURA G3,ZSS-2019-2208,PL-02,Building B,Quality Zone,2019-04-15,2026-04-10,Operational,2026-07-10,0.002
EDM-001,Wire_EDM,Wire EDM Machine,Sodick,ALC600G,SDK-2022-4401,PL-01,Building A,Machining Zone,2022-06-01,2026-03-20,Operational,2026-06-20,0.005
ASM-001,Elec_Assembly,Electronics Assembly Station,Juki,RS-1R,JKI-2023-1150,PL-03,Building C,Electronics Zone,2023-01-10,2026-04-05,Operational,2026-07-05,
RFL-001,Reflow_Oven,SMT Reflow Oven,Heller,MK7,HLR-2022-0882,PL-03,Building C,Electronics Zone,2022-09-15,2026-03-25,Operational,2026-06-25,
ADD-001,3D_Printer,Metal Additive Manufacturing,EOS,M 290,EOS-2023-3310,PL-01,Building A,Additive Zone,2023-06-01,2026-04-08,Operational,2026-07-08,0.05
PNT-001,Paint_Booth,Downdraft Paint Spray Booth,Global Finishing,EF-25-10,GFS-2019-8800,PL-02,Building B,Finishing Zone,2019-10-01,2026-02-10,Operational,2026-05-10,
PNT-002,Paint_Booth,Automated Robotic Paint Booth,Durr,EcoRP E043i,DRR-2021-9044,PL-02,Building B,Finishing Zone,2021-11-22,2026-03-12,Operational,2026-06-12,
CRN-001,Overhead_Crane,50-Ton Overhead Bridge Crane,Konecranes,CXT 50,KCR-2017-5500,PL-02,Building B,Assembly Zone,2017-03-15,2026-01-15,Operational,2026-04-15,
HTB-001,Hydraulic_Test,Hydraulic Test Bench,Parker Hannifin,HTS-3000,PHN-2021-2240,PL-02,Building B,Test Zone,2021-07-20,2026-03-30,Operational,2026-06-30,
